rule_id,supplement_category,target_goal,ingredient_keyword,form,recommended_time,with_meal,frequency_per_day,dose_instruction,duration_weeks,avoid_with,spacing_rule,safety_note,tracking_frequency,expected_result_window,adherence_tip
SR0432,BCAA,Body Building,valine,capsule,Before workout,Optional,1,1 scoop with water,10,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Review progress weekly
SR0433,Omega-3,Recovery,epa dha,liquid,After lunch,Yes,1,1-2 softgels daily with food,12,Consult doctor before surgery,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for heart health support,Review progress weekly
SR0434,Mineral,Muscle Gain,calcium,liquid,Night,No,1,Take as directed on label,12,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Review progress weekly
SR0435,Protein,Muscle Gain,casein protein,liquid,Morning,Optional,1,1 scoop with water or milk,8,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Set a daily reminder in the app
SR0436,Protein,Arms,pea protein,tablet,Morning,Optional,1,1 serving after workout,10,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Review progress weekly
SR0437,Digestive,Digestive Health,digestive enzymes,liquid,Night,Optional,1,1 capsule before meal,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Review progress weekly
SR0438,Vitamin,Recovery,vitamin d,softgel,After lunch,Yes,1,1 capsule daily,8,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Review progress weekly
SR0439,Protein,Energy Boost,pea protein,gel,After workout,Yes,1,1 scoop daily,10,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for recovery improvement,Take it at the same time every day
SR0440,Protein,Strength,pea protein,capsule,Morning,Optional,1,1 serving after workout,10,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Stop and report side effects
SR0441,General Wellness,Skin Health,multivitamin,liquid,Evening,Optional,1,1 tablet daily,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for general wellness support,Stop and report side effects
SR0442,Joint Support,Body Building,chondroitin,tablet,After dinner,Yes,1,1-2 capsules daily with meal,16,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Review progress weekly
SR0443,Performance,Energy Boost,creatine monohydrate,tablet,Morning,No,2,1 serving 20-30 minutes before workout,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Log missed doses honestly
SR0444,BCAA,Arms,isoleucine,liquid,Before workout,No,1,1 serving during workout,8,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Set a daily reminder in the app
SR0445,Performance,Fat Loss,creatine monohydrate,softgel,Before workout,Optional,1,1 serving 20-30 minutes before workout,6,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Log missed doses honestly
SR0446,Mineral,Digestive Health,calcium,liquid,Morning,No,2,1 capsule daily,16,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Stop and report side effects
SR0447,General Wellness,Muscle Gain,multivitamin,softgel,After breakfast,Yes,1,1 serving daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Set a daily reminder in the app
SR0448,Digestive,Arms,lactobacillus,softgel,Night,No,1,1 capsule daily,4,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Log missed doses honestly
SR0449,Collagen Protein,Heart Health,vitamin c,liquid,Night,Optional,1,Follow label dosage,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Take it at the same time every day
SR0450,Joint Support,Energy Boost,msm,liquid,After dinner,Yes,2,1-2 capsules daily with meal,16,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Log missed doses honestly
SR0451,Mineral,Arms,magnesium,capsule,Morning,No,2,1 capsule daily,8,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Take it at the same time every day
SR0452,Performance,Recovery,pre workout blend,tablet,Morning,Optional,2,Follow label dosage,6,Avoid high caffeine intake at night,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for performance improvement,Stop and report side effects
SR0453,Joint Support,Recovery,chondroitin,capsule,After breakfast,Yes,1,Follow label dosage,8,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Log missed doses honestly
SR0454,Performance,Recovery,creatine monohydrate,softgel,Before workout,No,1,3-5g daily,12,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Log missed doses honestly
SR0455,BCAA,Joint Support,leucine,gel,During workout,Optional,1,Follow label dosage,6,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Review progress weekly
SR0456,Mineral,Strength,calcium,gel,Between meals,Yes,1,1 capsule daily,8,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Log missed doses honestly
SR0457,BCAA,Muscle Gain,valine,softgel,After workout,No,1,1 serving during workout,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Stop and report side effects
SR0458,Mineral,Digestive Health,calcium,tablet,Morning,Yes,1,1 capsule daily,12,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Stop and report side effects
SR0459,Digestive,Heart Health,probiotic,powder,Night,No,1,Follow label dosage,8,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Set a daily reminder in the app
SR0460,Mineral,Arms,zinc,tablet,Between meals,Yes,2,1 capsule daily,16,Do not take iron with calcium or tea,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Log missed doses honestly
SR0461,Vitamin,General Wellness,multivitamin,liquid,After breakfast,Yes,1,1 tablet after meal,16,Avoid exceeding daily upper limit,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Review progress weekly
SR0462,Performance,Muscle Gain,beta alanine,capsule,Morning,Optional,2,1 serving 20-30 minutes before workout,8,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Stop and report side effects
SR0463,Performance,Immunity,citrulline malate,tablet,Any time daily,Optional,1,3-5g daily,6,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for performance improvement,Review progress weekly
SR0464,General Wellness,Strength,greens blend,capsule,After breakfast,Optional,1,1 tablet daily,8,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for general wellness support,Stop and report side effects
SR0465,Vitamin,Strength,vitamin b complex,capsule,After lunch,Yes,1,1 tablet after meal,16,Avoid exceeding daily upper limit,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Set a daily reminder in the app
SR0466,Collagen Protein,General Wellness,biotin,softgel,After breakfast,Optional,2,1 scoop daily,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Review progress weekly
SR0467,General Wellness,Muscle Gain,multivitamin,liquid,Morning,Optional,1,1 serving daily,8,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Take it at the same time every day
SR0468,Protein,Strength,soy protein,liquid,Morning,Optional,1,1 serving after workout,8,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Stop and report side effects
SR0469,General Wellness,Body Building,ashwagandha,softgel,Morning,Yes,1,1 tablet daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Log missed doses honestly
SR0470,Collagen Protein,Digestive Health,collagen,capsule,Morning,Yes,1,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0471,General Wellness,Strength,multivitamin,gel,After breakfast,Optional,2,1 tablet daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Review progress weekly
SR0472,Collagen Protein,Muscle Gain,biotin,softgel,Morning,Optional,1,1 scoop daily,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Take it at the same time every day
SR0473,General Wellness,Muscle Gain,electrolytes,liquid,After breakfast,Yes,1,Follow label dosage,12,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for general wellness support,Log missed doses honestly
SR0474,Performance,Energy Boost,citrulline malate,softgel,Any time daily,No,1,Follow label dosage,6,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Take it at the same time every day
SR0475,Mineral,General Wellness,magnesium,capsule,Night,No,2,1 capsule daily,8,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Review progress weekly
SR0476,Omega-3,Arms,fish oil,gel,After dinner,Yes,1,1-2 softgels daily with food,16,Use caution with blood thinning medications,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for heart health support,Log missed doses honestly
SR0477,Performance,Joint Support,beta alanine,gel,Any time daily,Optional,1,Follow label dosage,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Review progress weekly
SR0478,Performance,General Wellness,citrulline malate,capsule,Morning,No,1,1 serving 20-30 minutes before workout,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Log missed doses honestly
SR0479,Mineral,General Wellness,magnesium,gel,Morning,Yes,1,1 tablet daily,8,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Review progress weekly
SR0480,BCAA,Heart Health,leucine,liquid,After workout,No,1,1 serving during workout,8,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Set a daily reminder in the app
SR0481,Collagen Protein,Energy Boost,biotin,softgel,Night,Optional,1,1 scoop daily,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Review progress weekly
SR0482,Vitamin,Fat Loss,vitamin d,tablet,After lunch,Yes,1,1 tablet after meal,12,Avoid exceeding daily upper limit,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-12 weeks for wellness support,Stop and report side effects
SR0483,Performance,Arms,citrulline malate,gel,Before workout,Optional,1,3-5g daily,6,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Log missed doses honestly
SR0484,BCAA,Heart Health,isoleucine,softgel,Before workout,Optional,1,1 scoop with water,6,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Set a daily reminder in the app
SR0485,Collagen Protein,Recovery,vitamin c,capsule,Morning,Optional,2,1 scoop daily,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Review progress weekly
SR0486,Omega-3,Skin Health,fish oil,liquid,After dinner,Yes,1,1 softgel after meal,12,Use caution with blood thinning medications,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for heart health support,Stop and report side effects
SR0487,Vitamin,Energy Boost,multivitamin,softgel,Morning,Yes,1,Follow label dosage,8,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Log missed doses honestly
SR0488,Collagen Protein,General Wellness,biotin,capsule,Morning,Optional,2,1 serving with water,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Review progress weekly
SR0489,General Wellness,Skin Health,greens blend,tablet,Evening,Yes,2,1 tablet daily,8,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Stop and report side effects
SR0490,General Wellness,Energy Boost,electrolytes,capsule,Morning,Yes,1,1 tablet daily,12,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Stop and report side effects
SR0491,General Wellness,Body Building,ashwagandha,gel,Evening,Yes,1,Follow label dosage,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Log missed doses honestly
SR0492,Joint Support,Immunity,glucosamine,gel,After dinner,Yes,1,1-2 capsules daily with meal,12,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Stop and report side effects
SR0493,Protein,General Wellness,whey protein,gel,After workout,Optional,1,1 scoop daily,8,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for muscle gain support,Review progress weekly
SR0494,General Wellness,Recovery,electrolytes,liquid,Morning,Yes,1,Follow label dosage,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Review progress weekly
SR0495,Protein,Muscle Gain,pea protein,liquid,After workout,Yes,1,1 scoop daily,10,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Set a daily reminder in the app
SR0496,Vitamin,Recovery,vitamin d,softgel,After breakfast,Yes,2,1 capsule daily,16,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Take it at the same time every day
SR0497,Collagen Protein,Immunity,collagen,capsule,Morning,Yes,1,1 scoop daily,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0498,Protein,Immunity,casein protein,softgel,Evening,Yes,2,1 scoop with water or milk,8,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for muscle gain support,Review progress weekly
SR0499,BCAA,Strength,valine,softgel,Before workout,No,2,1 scoop with water,8,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Review progress weekly
SR0500,Collagen Protein,Muscle Gain,vitamin c,powder,Morning,Yes,2,Follow label dosage,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Log missed doses honestly
SR0501,Performance,General Wellness,pre workout blend,gel,Morning,Optional,1,Follow label dosage,12,Consult doctor if kidney disease exists,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for strength support,Take it at the same time every day
SR0502,Collagen Protein,Heart Health,vitamin c,powder,Night,Optional,1,1 scoop daily,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Review progress weekly
SR0503,Collagen Protein,Strength,vitamin c,powder,Night,Yes,2,1 serving with water,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Review progress weekly
SR0504,Vitamin,Skin Health,vitamin d,liquid,After lunch,Yes,1,1 tablet after meal,16,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-12 weeks for wellness support,Log missed doses honestly
SR0505,Collagen Protein,Fat Loss,collagen,tablet,Morning,Optional,1,1 scoop daily,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Review progress weekly
SR0506,BCAA,General Wellness,leucine,capsule,Before workout,No,1,1 scoop with water,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Log missed doses honestly
SR0507,Performance,Immunity,beta alanine,softgel,Morning,Optional,2,1 serving 20-30 minutes before workout,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Take it at the same time every day
SR0508,General Wellness,Recovery,ashwagandha,softgel,Morning,Optional,1,1 serving daily,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Review progress weekly
SR0509,Mineral,Muscle Gain,zinc,tablet,Between meals,No,2,1 tablet daily,12,Separate calcium/iron from levothyroxine by 4 hours,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Log missed doses honestly
SR0510,Joint Support,Fat Loss,glucosamine,tablet,After breakfast,Yes,2,Follow label dosage,16,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for joint comfort support,Review progress weekly
SR0511,Digestive,Energy Boost,bifidobacterium,gel,Night,Optional,1,1 capsule daily,12,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for digestive support,Set a daily reminder in the app
SR0512,Protein,Fat Loss,pea protein,capsule,After workout,Optional,2,1 scoop with water or milk,10,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for recovery improvement,Review progress weekly
SR0513,Performance,Joint Support,creatine monohydrate,capsule,Morning,Optional,1,3-5g daily,12,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Set a daily reminder in the app
SR0514,BCAA,Skin Health,isoleucine,softgel,After workout,No,1,1 scoop with water,10,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Log missed doses honestly
SR0515,BCAA,Fat Loss,bcaa,tablet,After workout,Optional,2,1 scoop with water,8,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Set a daily reminder in the app
SR0516,Collagen Protein,Strength,collagen,gel,Night,Yes,1,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Review progress weekly
SR0517,Performance,Joint Support,pre workout blend,liquid,Morning,No,1,3-5g daily,6,Avoid high caffeine intake at night,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Set a daily reminder in the app
SR0518,Collagen Protein,Strength,collagen,liquid,Night,Optional,1,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Review progress weekly
SR0519,Protein,Muscle Gain,pea protein,softgel,Morning,Yes,2,1 scoop with water or milk,12,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Set a daily reminder in the app
SR0520,General Wellness,Energy Boost,ashwagandha,gel,After breakfast,Optional,2,Follow label dosage,8,Check medication conflicts and allergies,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Stop and report side effects
SR0521,Vitamin,Digestive Health,vitamin c,softgel,After breakfast,Yes,2,1 tablet after meal,16,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Stop and report side effects
SR0522,Performance,Digestive Health,pre workout blend,gel,Morning,Optional,1,3-5g daily,6,Avoid high caffeine intake at night,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for performance improvement,Stop and report side effects
SR0523,Performance,Energy Boost,citrulline malate,liquid,Any time daily,No,1,1 serving 20-30 minutes before workout,6,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for performance improvement,Set a daily reminder in the app
SR0524,Mineral,General Wellness,zinc,liquid,Between meals,Yes,1,1 tablet daily,8,Do not take iron with calcium or tea,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Review progress weekly
SR0525,Protein,Fat Loss,casein protein,powder,Evening,Optional,1,1 scoop daily,8,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Review progress weekly
SR0526,Performance,Energy Boost,creatine monohydrate,liquid,Before workout,No,1,3-5g daily,6,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for performance improvement,Log missed doses honestly
SR0527,Performance,Body Building,beta alanine,powder,Any time daily,Optional,1,3-5g daily,12,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Stop and report side effects
SR0528,BCAA,Strength,isoleucine,powder,Before workout,Optional,2,Follow label dosage,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Take it at the same time every day
SR0529,Protein,Recovery,pea protein,liquid,After workout,Optional,1,1 scoop with water or milk,8,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Take it at the same time every day
SR0530,BCAA,Joint Support,isoleucine,capsule,Before workout,No,2,1 serving during workout,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Review progress weekly
SR0531,Performance,Body Building,citrulline malate,gel,Any time daily,No,1,3-5g daily,12,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for performance improvement,Review progress weekly
SR0532,Joint Support,Skin Health,chondroitin,capsule,After dinner,Yes,1,1-2 capsules daily with meal,8,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Stop and report side effects
SR0533,BCAA,Arms,leucine,softgel,Before workout,Optional,1,1 scoop with water,10,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Review progress weekly
SR0534,Collagen Protein,Heart Health,collagen,powder,Morning,Optional,1,1 scoop daily,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Stop and report side effects
SR0535,General Wellness,Arms,ashwagandha,powder,After breakfast,Yes,1,1 serving daily,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for general wellness support,Take it at the same time every day
SR0536,Digestive,Arms,digestive enzymes,gel,Before breakfast,No,2,1 capsule daily,4,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Stop and report side effects
SR0537,Omega-3,Strength,omega-3,powder,After dinner,Yes,1,1 softgel after meal,12,Consult doctor before surgery,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for heart health support,Log missed doses honestly
SR0538,BCAA,Fat Loss,bcaa,gel,After workout,No,2,1 scoop with water,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Review progress weekly
SR0539,Joint Support,Fat Loss,chondroitin,powder,After breakfast,Yes,2,Follow label dosage,8,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Take it at the same time every day
SR0540,Mineral,Muscle Gain,magnesium,powder,Night,Yes,1,1 tablet daily,16,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Stop and report side effects
